Min. of Health & Family Planning,Mohammad NASIM,#NAME?
Min. of Home Affairs,Asaduzzaman Khan KAMAL,#NAME?
Min. of Housing & Public Works,Mosharraf HOSSAIN,#NAME?
Min. of Industries,Amir Hossain AMU,#NAME?
Min. of Information,Hasanul Haq INU,#NAME?
Min. of Information & Communication Technology,,#NAME?
Min. of Labor & Employment,Mujibul Haque CHUNNU,#NAME?
Min. of Land,Shamsur Rahman SHARIF,#NAME?
Min. of Law,Anisul HAQUE,#NAME?
Min of Liberation War,AKM Mojammel HAQUE,#NAME?
"Min. of Local Govt., Rural Development, & Cooperatives",Khandker Mosharraf HOSSAIN,#NAME?
Min. of Planning,AHM Mostafa KAMAL,#NAME?
Min. of Posts & Telecommunications,,#NAME?
"Min. of Power, Energy, & Mineral Resources",Sheikh HASINA,#NAME?
Min. of Primary & Mass Education,Mustafizur Rahman FIZAR,#NAME?
Min. of Public Admin.,Syed Ashraful ISLAM,#NAME?
Min. of Railways,Mujibul HUQ,#NAME?
Min. of Religious Affairs,Motiur RAHMAN,#NAME?
Min. of Road Transport & Bridges,Obaidul QUADER,#NAME?
Min. of Rural Development & Cooperatives,Moshiur Rahman RANGA,#NAME?
Min. of Science & Technology,Yeafesh OSMAN,#NAME?
Min. of Shipping,Shahjahan KHAN,#NAME?
Min. of Social Welfare,Syed Mohsin ALI,#NAME?
Min. of Textiles & Jute,Emajuddin PRAMANIK,#NAME?
Min. of Water Resources,Anisul Islam MAHMUD,#NAME?
"Governor, Bangladesh Bank",Atiur RAHMAN,#NAME?
Ambassador to the US,Mohammad ZIAUDDIN,#NAME?
"Permanent Representative to the UN, New York",Masud Bin MOMEN,#NAME?
,Barbados,Barbados
,Last Updated:  11 Jun 2018,Last Updated:  11 Jun 2018
Governor Gen.,Sandra MASON,#NAME?
